[수집] 2026-06-01 ~ 2026-08-31 · 92일 · 매체 2곳
  이미 받은 (날짜,매체) 9쌍은 건너뜁니다
  2026-06-01 한국농어민신문   36건 (품목·가격 관련 3)
  2026-07-24 한국농어민신문   40건 (품목·가격 관련 6)
  2026-07-24 농수축산신문   25건 (품목·가격 관련 3)
  2026-07-25 한국농어민신문   20건 (품목·가격 관련 2)
  2026-07-25 농수축산신문    5건 (품목·가격 관련 1)
  2026-07-26 한국농어민신문   20건 (품목·가격 관련 2)
  2026-07-26 농수축산신문    6건 (품목·가격 관련 1)
  2026-07-27 한국농어민신문   20건 (품목·가격 관련 2)
  2026-07-27 농수축산신문   25건 (품목·가격 관련 5)
  2026-07-28 한국농어민신문   20건 (품목·가격 관련 2)
  2026-07-28 농수축산신문   25건 (품목·가격 관련 3)
  2026-07-29 한국농어민신문   20건 (품목·가격 관련 2)
  2026-07-29 농수축산신문   25건 (품목·가격 관련 2)
  2026-07-30 한국농어민신문   32건 (품목·가격 관련 3)
  2026-07-30 농수축산신문   25건 (품목·가격 관련 2)
  2026-07-31 한국농어민신문   40건 (품목·가격 관련 4)
  2026-07-31 농수축산신문   25건 (품목·가격 관련 3)
  2026-08-01 한국농어민신문   20건 (품목·가격 관련 2)
  2026-08-01 농수축산신문    5건 (품목·가격 관련 1)
  2026-08-02 한국농어민신문   20건 (품목·가격 관련 2)
  2026-08-02 농수축산신문    5건 (품목·가격 관련 1)
  2026-08-03 한국농어민신문   32건 (품목·가격 관련 3)
  2026-08-03 농수축산신문   25건 (품목·가격 관련 4)
  2026-08-04 한국농어민신문   40건 (품목·가격 관련 5)
  2026-08-04 농수축산신문   25건 (품목·가격 관련 2)
  2026-08-05 한국농어민신문   20건 (품목·가격 관련 2)
  2026-08-05 농수축산신문   25건 (품목·가격 관련 2)
  2026-08-06 한국농어민신문   39건 (품목·가격 관련 3)
  2026-08-06 농수축산신문   25건 (품목·가격 관련 1)
  2026-08-07 한국농어민신문   40건 (품목·가격 관련 8)
  2026-08-07 농수축산신문   25건 (품목·가격 관련 6)
  2026-08-08 한국농어민신문   20건 (품목·가격 관련 2)
  2026-08-08 농수축산신문    5건 (품목·가격 관련 1)
  2026-08-09 한국농어민신문   20건 (품목·가격 관련 2)
  2026-08-09 농수축산신문    5건 (품목·가격 관련 1)
  2026-08-12 한국농어민신문   20건 (품목·가격 관련 2)
  2026-08-15 한국농어민신문   20건 (품목·가격 관련 2)
  2026-08-15 농수축산신문    5건 (품목·가격 관련 1)
  2026-08-16 한국농어민신문   20건 (품목·가격 관련 2)
  2026-08-16 농수축산신문    5건 (품목·가격 관련 1)
  2026-08-17 한국농어민신문   20건 (품목·가격 관련 2)
  2026-08-17 농수축산신문   25건 (품목·가격 관련 2)
  2026-08-18 한국농어민신문   29건 (품목·가격 관련 2)
  2026-08-18 농수축산신문   25건 (품목·가격 관련 3)
  2026-08-19 한국농어민신문   40건 (품목·가격 관련 2)
  2026-08-19 농수축산신문   25건 (품목·가격 관련 6)
  2026-08-20 한국농어민신문   30건 (품목·가격 관련 2)
  2026-08-20 농수축산신문   25건 (품목·가격 관련 4)
  2026-08-21 한국농어민신문   40건 (품목·가격 관련 5)
  2026-08-21 농수축산신문   25건 (품목·가격 관련 2)
  2026-08-22 한국농어민신문   20건 (품목·가격 관련 2)
  2026-08-22 농수축산신문    5건 (품목·가격 관련 1)
  2026-08-23 한국농어민신문   20건 (품목·가격 관련 2)
  2026-08-23 농수축산신문    5건 (품목·가격 관련 1)
  2026-08-24 한국농어민신문   29건 (품목·가격 관련 3)
  2026-08-24 농수축산신문   25건 (품목·가격 관련 3)
  2026-08-25 한국농어민신문   40건 (품목·가격 관련 4)
  2026-08-25 농수축산신문   25건 (품목·가격 관련 2)
  2026-08-26 한국농어민신문   20건 (품목·가격 관련 2)
  2026-08-26 농수축산신문   25건 (품목·가격 관련 7)
  2026-08-27 한국농어민신문   35건 (품목·가격 관련 3)
  2026-08-27 농수축산신문   25건 (품목·가격 관련 3)
  2026-08-28 한국농어민신문   39건 (품목·가격 관련 6)
  2026-08-28 농수축산신문   25건 (품목·가격 관련 1)
  2026-08-29 한국농어민신문   20건 (품목·가격 관련 2)
  2026-08-29 농수축산신문    5건 (품목·가격 관련 1)
  2026-08-30 한국농어민신문   20건 (품목·가격 관련 2)
  2026-08-30 농수축산신문    5건 (품목·가격 관련 1)
  2026-08-31 한국농어민신문   25건 (품목·가격 관련 2)
  2026-08-31 농수축산신문   25건 (품목·가격 관련 3)

  [거름] 여러 날짜에 나온 기사 25개를 뺐습니다 (4061 → 1866건)
        옆에 붙은 '많이 본 기사' 입니다

[저장] C:\IDE\workplace\mainproject_jh_workplace\데이터 수집\뉴스\output\agri_news.csv  (새로 1,866건 · 건너뜀 9일)
  품목·가격 관련 211건 (11%)
  예시:
    2026-06-01  17브릭스 이상만 시장으로···곡성 체리, 프리미엄 출하 나섰다
    2026-06-01  산림청, 소나무재선충병 방제사업 관리 강화한다
    2026-06-01  농어촌공사 예산지사, 예산 저수지 안전망 점검…집중호우 대비 비상대응 훈련
    2026-06-02  충북 청주·음성 수박 ‘본격 출하’
    2026-06-02  경남농협, 올해산 양파 1만톤 수출 추진
